NESHAP,"“NESHAP” means the National Emission Standards for Hazardous Air Pollutants, 40 C.F.R. part 61, subpart M."
NIOSH,“NIOSH” means the National Institute for Occupational Safety and Health.
OHM,"“OHM” or “off-highway motorcycle” means any motor vehicle used off the roads or highways of this state that has a seat or saddle for the use of the rider and is designed to travel with not more than two wheels in contact with the ground, but excludes a tractor or a moped."
OHM,"“OHM” or “off-highway motorcycle” means any motor vehicle used off the roads or highways of this state that has a seat or saddle for the use of the rider and is designed to travel with not more than two wheels in contact with the ground, but excludes a tractor or a moped."
OSHA,“OSHA” means the Occupational Safety and Health Administration.
ROV,"“ROV” means any motorized recreational off-highway vehicle 64 inches or less in width, having a dry weight of 2,000 pounds or less, designed to travel on four or more nonhighway tires, having nonstraddle seating and a steering wheel, and manufactured for recreational use by one or more persons. The term “ROV” does not include a golf cart as defined in ss. 320.01(22) and 316.003(68) or a low-speed vehicle as defined in s. 320.01(42)."
ROV,"“ROV” means any motorized recreational off-highway vehicle 64 inches or less in width, having a dry weight of 2,000 pounds or less, designed to travel on four or more nonhighway tires, having nonstraddle seating and a steering wheel, and manufactured for recreational use by one or more persons. The term “ROV” does not include a golf cart as defined in ss. 320.01(22) and 316.003(68) or a low-speed vehicle as defined in s. 320.01(42)."
SCRA,"“SCRA” means the Servicemembers Civil Relief Act, Title 50, Appendix U.S.C. ss. 501 et seq."
USERRA,"“USERRA” means the Uniformed Services Employment and Reemployment Rights Act, chapter 43 of Title 38 U.S.C."
abandoned,"“Abandoned” or “abandonment” means a situation in which the parent or legal custodian of a child or, in the absence of a parent or legal custodian, the caregiver, while being able, has made no significant contribution to the child’s care and maintenance or has failed to establish or maintain a substantial and positive relationship with the child, or both. For purposes of this subsection, “establish or maintain a substantial and positive relationship” includes, but is not limited to, frequent and regular contact with the child through frequent and regular visitation or frequent and regular communication to or with the child, and the exercise of parental rights and responsibilities. Marginal efforts and incidental or token visits or communications are not sufficient to establish or maintain a substantial and positive relationship with a child. The term does not include a surrendered newborn infant as described in s. 383.50, a “child in need of services” as defined in chapter 984, or a “family in need of services” as defined in chapter 984. The incarceration, repeated incarceration, or extended incarceration of a parent, legal custodian, or caregiver responsible for a child’s welfare may support a finding of abandonment."
abandoned,“Abandoned” means left without provision for reasonable and necessary care or supervision.
abandoned,"“Abandoned” means a situation in which the parent or person having legal custody of a child, while being able, makes little or no provision for the child’s support or makes little or no effort to communicate with the child, which situation is sufficient to evince an intent to reject parental responsibilities. If, in the opinion of the court, the efforts of such parent or person having legal custody of the child to support and communicate with the child are only marginal efforts that do not evince a settled purpose to assume all parental duties, the court may declare the child to be abandoned. In making this decision, the court may consider the conduct of a father towards the child’s mother during her pregnancy."
abandoned,"“Abandoned” means a situation in which the parent or legal custodian of a child or, in the absence of a parent or legal custodian, the person responsible for the child’s welfare, while being able, makes no provision for the child’s support and makes no effort to communicate with the child, which situation is sufficient to evince a willful rejection of parental obligations. If the efforts of such parent or legal custodian, or person primarily responsible for the child’s welfare to support and communicate with the child are, in the opinion of the court, only marginal efforts that do not evince a settled purpose to assume all parental duties, the court may declare the child to be abandoned. The term “abandoned” does not include a “child in need of services” as defined in subsection (9) or a “family in need of services” as defined in subsection (25). The incarceration of a parent, legal custodian, or person responsible for a child’s welfare does not constitute a bar to a finding of abandonment."
abandoned property,"“Abandoned property” means all tangible personal property that does not have an identifiable owner and that has been disposed on public property in a wrecked, inoperative, or partially dismantled condition or has no apparent intrinsic value to the rightful owner. The term includes derelict vessels as defined in s. 823.11(1)."
abandoned property,"“Abandoned property” means all tangible personal property that has been disposed of on public property in a wrecked, inoperative, or partially dismantled condition."
abandoned the child,"Abandons the child. Within the context of the definition of “harm,” the term “abandoned the child” or “abandonment of the child” means a situation in which the parent or legal custodian of a child or, in the absence of a parent or legal custodian, the caregiver, while being able, has made no significant contribution to the child’s care and maintenance or has failed to establish or maintain a substantial and positive relationship with the child, or both. For purposes of this paragraph, “establish or maintain a substantial and positive relationship” includes, but is not limited to, frequent and regular contact with the child through frequent and regular visitation or frequent and regular communication to or with the child, and the exercise of parental rights and responsibilities. Marginal efforts and incidental or token visits or communications are not sufficient to establish or maintain a substantial and positive relationship with a child. The term “abandoned” does not include a surrendered newborn infant as described in s. 383.50, a child in need of services as defined in chapter 984, or a family in need of services as defined in chapter 984. The incarceration, repeated incarceration, or extended incarceration of a parent, legal custodian, or caregiver responsible for a child’s welfare may support a finding of abandonment."
abandoned water well,"“Abandoned water well” means a well the use of which has been permanently discontinued. Any well shall be deemed abandoned which is in such a state of disrepair, as determined by a representative of the department, that continued use for the purpose of obtaining groundwater or disposing of water or liquid wastes is impracticable."
abandonment,"“Abandoned” or “abandonment” means a situation in which the parent or legal custodian of a child or, in the absence of a parent or legal custodian, the caregiver, while being able, has made no significant contribution to the child’s care and maintenance or has failed to establish or maintain a substantial and positive relationship with the child, or both. For purposes of this subsection, “establish or maintain a substantial and positive relationship” includes, but is not limited to, frequent and regular contact with the child through frequent and regular visitation or frequent and regular communication to or with the child, and the exercise of parental rights and responsibilities. Marginal efforts and incidental or token visits or communications are not sufficient to establish or maintain a substantial and positive relationship with a child. The term does not include a surrendered newborn infant as described in s. 383.50, a “child in need of services” as defined in chapter 984, or a “family in need of services” as defined in chapter 984. The incarceration, repeated incarceration, or extended incarceration of a parent, legal custodian, or caregiver responsible for a child’s welfare may support a finding of abandonment."
abandonment of the child,"Abandons the child. Within the context of the definition of “harm,” the term “abandoned the child” or “abandonment of the child” means a situation in which the parent or legal custodian of a child or, in the absence of a parent or legal custodian, the caregiver, while being able, has made no significant contribution to the child’s care and maintenance or has failed to establish or maintain a substantial and positive relationship with the child, or both. For purposes of this paragraph, “establish or maintain a substantial and positive relationship” includes, but is not limited to, frequent and regular contact with the child through frequent and regular visitation or frequent and regular communication to or with the child, and the exercise of parental rights and responsibilities. Marginal efforts and incidental or token visits or communications are not sufficient to establish or maintain a substantial and positive relationship with a child. The term “abandoned” does not include a surrendered newborn infant as described in s. 383.50, a child in need of services as defined in chapter 984, or a family in need of services as defined in chapter 984. The incarceration, repeated incarceration, or extended incarceration of a parent, legal custodian, or caregiver responsible for a child’s welfare may support a finding of abandonment."
abatement,"“Abatement” means the removal, encapsulation, enclosure, or disposal of asbestos."
able to work,“Able to work” means physically and mentally capable of performing the duties of the occupation in which work is being sought.
abortion,“Abortion” means the termination of human pregnancy with an intention other than to produce a live birth or to remove a dead fetus.
abortion clinic,“Abortion clinic” or “clinic” means any facility in which abortions are performed. The term does not include:
absent elector,“Absent elector” means any registered and qualified voter who casts an absentee ballot.
absent uniformed services voter,“Absent uniformed services voter” means:
absolute auction,“Absolute auction” means an auction that requires no minimum opening bid that limits the sale other than to the highest bidder.
abuse,"“Abuse” means any willful act or threatened act that results in any physical, mental, or sexual abuse, injury, or harm that causes or is likely to cause the child’s physical, mental, or emotional health to be significantly impaired. Abuse of a child includes acts or omissions. Corporal discipline of a child by a parent or legal custodian for disciplinary purposes does not in itself constitute abuse when it does not result in harm to the child."
abuse,"“Abuse” means any willful act that results in any physical, mental, or sexual injury that causes or is likely to cause the child’s physical, mental, or emotional health to be significantly impaired. Corporal discipline of a child by a parent or guardian for disciplinary purposes does not in itself constitute abuse when it does not result in harm to the child as defined in s. 39.01."
acceptable release rate,"“Acceptable release rate” means a measured release rate not exceeding 4.0 micrograms per square centimeter per day at steady state conditions as determined in accordance with a United States Environmental Protection Agency testing data call-in notice of July 29, 1986, on tributyltin in antifouling paints under the Federal Insecticide, Fungicide, and Rodenticide Act, 7 U.S.C. s. 136, or at a rate established by the department."
accepted,"“Accepted” means that the agency has found that a report or data submitted by a health care facility or a health care provider contains all schedules and data required by the agency and has been prepared in the format specified by the agency, and otherwise conforms to applicable rule or Florida Hospital Uniform Reporting System manual requirements regarding reports in effect at the time such report was submitted, and the data are mathematically reasonable and accurate."
acceptor,“Acceptor” means a drawee who has accepted a draft.
access,"“Access” or “public access” as used in ss. 161.041, 161.052, and 161.053 means the public’s right to laterally traverse the sandy beaches of this state where such access exists on or after July 1, 1987, or where the public has established an accessway through private lands to lands seaward of the mean high tide or water line by prescription, prescriptive easement, or any other legal means, development or construction shall not interfere with such right of public access unless a comparable alternative accessway is provided."
access,"“Access” means a visual inspection or the copying of the records maintained by the state agency, facility, provider, or contractor."
access,"“Access” means to approach, instruct, communicate with, store data in, retrieve data from, or otherwise make use of any resources of a computer, computer system, or computer network."
accessible electronic information and information technology,"“Accessible electronic information and information technology” means electronic information and information technology that conforms to the standards for accessible electronic information and information technology as set forth by s. 508 of the Rehabilitation Act of 1973, as amended, and 29 U.S.C. s. 794(d), including the regulations set forth under 36 C.F.R. part 1194."
accession,“Accession” means goods that are physically united with other goods in such a manner that the identity of the original goods is not lost.
accessorial services,"“Accessorial services” means any service performed by a mover which results in a charge to the shipper and is incidental to the transportation or shipment of household goods, including, but not limited to, valuation coverage; preparation of written inventory; equipment, including dollies, hand trucks, pads, blankets, and straps; storage, packing, unpacking, or crating of articles; hoisting or lowering; waiting time; carrying articles excessive distances to or from the mover’s vehicle, which may be cited as “long carry”; overtime loading and unloading; reweighing; disassembly or reassembly; elevator or stair carrying; boxing or servicing of appliances; and furnishing of packing or crating materials. The term includes services not performed by the mover but performed by a third party at the request of the shipper or mover, if the charges for these services are to be paid to the mover by the shipper at or before the time of delivery."
accident,"“Accident” means only an unexpected or unusual event or result that happens suddenly. Disability or death due to the accidental acceleration or aggravation of a venereal disease or of a disease due to the habitual use of alcohol or controlled substances or narcotic drugs, or a disease that manifests itself in the fear of or dislike for an individual because of the individual’s race, color, religion, sex, national origin, age, or handicap is not an injury by accident arising out of the employment. Subject to s. 440.15(5), if a preexisting disease or anomaly is accelerated or aggravated by an accident arising out of and in the course of employment, only acceleration of death or acceleration or aggravation of the preexisting condition reasonably attributable to the accident is compensable, with respect to any compensation otherwise payable under this chapter. An injury or disease caused by exposure to a toxic substance, including, but not limited to, fungus or mold, is not an injury by accident arising out of the employment unless there is clear and convincing evidence establishing that exposure to the specific substance involved, at the levels to which the employee was exposed, can cause the injury or disease sustained by the employee."
accident,“Accident” means an occurrence resulting in injury or death to one or more persons which is not the result of willful action by a party.
accidental release,“Accidental release” means an unanticipated emission of a regulated substance into the ambient air from a stationary source.
accidental release prevention program,"“Accidental Release Prevention Program” means the program to implement the accidental release prevention, detection, and response provisions of s. 112(r)(7) of the Clean Air Act and federal implementing regulations."
accommodation,"“Accommodation” means any apartment, condominium or cooperative unit, cabin, lodge, hotel or motel room, campground, cruise ship cabin, houseboat or other vessel, recreational or other motor vehicle, or any private or commercial structure which is real or personal property and designed for overnight occupancy by one or more individuals. The term does not include an incidental benefit as defined in this section."
accommodations,"“Accommodations” means any hotel or motel room, condominium or cooperative unit, cabin, lodge, or apartment; any other commercial structure designed for occupancy by one or more individuals; or any lodging establishment as provided by law."
accommodative,"“Orthosis” means any medical device used to provide support, correction, or alleviation of neuromuscular or musculoskeletal dysfunction, disease, injury, or deformity but does not include the following assistive technology devices: upper extremity adaptive equipment used to facilitate the activities of daily living, including specialized utensils, combs, and brushes; finger splints; wheelchair seating and equipment that is an integral part of the wheelchair and not worn by the patient; elastic abdominal supports that do not have metal or plastic reinforcing stays; nontherapeutic arch supports; nontherapeutic accommodative inlays and nontherapeutic accommodative footwear, regardless of method of manufacture; unmodified, over-the-counter nontherapeutic shoes; prefabricated nontherapeutic foot care products; durable medical equipment such as canes, crutches, or walkers; dental appliances; or devices implanted into the body by a physician. For purposes of this subsection, “accommodative” means designed with the primary goal of conforming to the individual’s anatomy, “inlay” means any removable material upon which the foot directly rests inside the shoe and which may be an integral design component of the shoe, and “musculoskeletal” and “neuromuscular” mean the systems of the body providing support and movement and include the skeletal, muscular, circulatory, nervous, and integumentary systems."
account,“Account” means one of the accounts created by s. 631.55.
account,“Account” means any of the three accounts created in s. 631.715.
account,"“Account” means the Florida Export Finance Corporation account in the Florida Intergovernmental Relations Foundation, Inc."
account,"“Account” means any deposit or credit account with a bank, including a demand, time, savings, passbook, share draft, or like account, other than an account evidenced by a certificate of deposit."
account debtor,"“Account debtor” means a person obligated on an account, chattel paper, or general intangible. The term does not include persons obligated to pay a negotiable instrument, even if the instrument constitutes part of chattel paper."
accountable care organization,"“Accountable care organization” means an entity qualified as an accountable care organization in accordance with federal regulations, and which meets the requirements of a provider service network as described in s. 409.912(4)(d)."
accounting period,“Accounting period” means a calendar year unless another 12-month period is selected by a fiduciary. The term includes a portion of a calendar year or other 12-month period that begins when an income interest begins or ends when an income interest ends.
accreditation,“Accreditation” means accredited status awarded to an institution by an accrediting agency or association that is recognized by the United States Department of Education and that has standards comparable to the minimum standards required to operate an educational institution at that level in this state.
accredited program,"“Accredited program” means a program for the prelicensure education of professional or practical nurses that is conducted in the United States at an educational institution, whether in this state, another state, or the District of Columbia, and that is accredited by a specialized nursing accrediting agency that is nationally recognized by the United States Secretary of Education to accredit nursing education programs."
accrediting organizations,“Accrediting organizations” means the Joint Commission on Accreditation of Healthcare Organizations or other national accreditation agencies whose standards for accreditation are comparable to those required by this part for licensure.
accrediting organizations,“Accrediting organizations” means national accreditation organizations that are approved by the Centers for Medicare and Medicaid Services and whose standards incorporate comparable licensure regulations required by the state.
accumulated annual leave payment,"“Accumulated annual leave payment” means any payment, made either during an employee’s employment or at termination or retirement, for leave accrued during such employee’s career, which leave was intended for, but never utilized by the employee for, his or her personal use. General leave, which may be used for both sickness and vacation, is considered accumulated annual leave. When leave is initially accrued separately as annual leave or sick leave and is later combined into a consolidated leave account, only the payment for that portion of the account which represents annual leave shall be considered as compensation. If any single lump-sum annual leave payment, made at anytime during a member’s employment, exceeds 500 hours, only a maximum of 500 hours of such annual leave payment shall be considered as compensation."
accumulated contributions,"“Accumulated contributions” means the sum of all the amounts deducted from the salary of a member and credited to his or her individual account in the Annuity Savings Trust Fund provided in s. 238.09(1), together with regular interest on such accounts."
accumulated contributions,“Accumulated contributions” means the sum of:
accumulated sick leave payment,"“Accumulated sick leave payment” means leave accrued during an employee’s career which was intended for use in the event of sickness, injury, or other health problems of a member or his or her family. General leave which may be used for both sickness and vacation is not considered sick leave. When leave is initially accrued separately as annual leave or sick leave and is later combined into a consolidated leave account, the payment for that portion of the account which represents sick leave shall not be considered compensation."
achieving functional outcomes,"“Achieving functional outcomes” means to maximize the independence and the maintenance of health of any individual who is limited by a physical injury or illness, a cognitive impairment, a psychosocial dysfunction, a mental illness, a developmental or a learning disability, or an adverse environmental condition."
acquirer,"“Acquirer” means a business organization, governmental entity, financial institution, or an agent of a business organization, governmental entity, or financial institution that authorizes a merchant to accept payment by credit card for money, goods, services, or anything else of value."
acquisition,“Acquisition” means to gain the sole or partial use of a building through a purchase agreement.
acquisition cost,"“Acquisition cost” means all costs specifically associated with acquiring new business, including, but not limited to, underwriting costs, commissions, contingent fees, and cost of sales material."
acres mined,“Acres mined” means all acres on which mining operations have resulted in extraction of phosphate rock.
act,"“Act” means the Florida Revised Uniform Limited Partnership Act of 2005, as amended."
act,"“Act” means the Revised Uniform Partnership Act of 1995, consisting of ss. 620.81001-620.9902."
act,“Act” means the Florida Energy and Climate Protection Act.
act,“Act” means the “Taxable Bond Act of 1987.”
act,"“Act” means the Rehabilitation Act of 1973, as amended."
act,"“Act” means the Florida Development Finance Corporation Act of 1993, and all acts supplemental thereto and amendatory thereof."
act,“Act” means the Victims of Wrongful Incarceration Compensation Act.
act of congress,"“Act of Congress” means the Act of Congress approved June 18, 1934, entitled an Act to provide for the establishment, operation, and maintenance of foreign trade zones in ports of entry of the United States, to expedite and encourage foreign commerce, and for other purposes, as amended, and commonly known as the Foreign Trade Zones Act of 1934, 19 U.S.C. ss. 81a-81u."
action,"“Action” means any civil action or arbitration proceeding for damages or indemnity asserting a claim for damage to or loss of real or personal property caused by an alleged construction defect, but does not include any administrative action or any civil action or arbitration proceeding asserting a claim for alleged personal injuries arising out of an alleged construction defect."
active duty,"“Active duty” means full-time duty in active military service of the United States. The term includes federal duty such as full-time training, annual training, and attendance while a person is in active military service or in a school designated as a service school by law or by the secretary of the applicable military department. The term does not mean full-time duty in the National Guard. The term shall also include the period during which a person in active military service is absent from duty as a result of illness, being wounded, being on leave, or other lawful cause."
active ingredient,“Active ingredient” means:
active military service,"The term “active military service” as used in this chapter shall signify active duty in the Florida defense force or federal service in training or on active duty with any branch of the Armed Forces or Reservists of the Armed Forces, the Florida National Guard, the Coast Guard of the United States, and service of all officers of the United States Public Health Service detailed by proper authority for duty with the Armed Forces, and shall include the period during which a person in military service is absent from duty on account of sickness, wounds, leave, or other lawful cause."
active treatment,“Active treatment” means the provision of services by an interdisciplinary team which are necessary to maximize a client’s individual independence or prevent regression or loss of functional status.
active tuberculosis,"“Active tuberculosis” means tuberculosis disease that is demonstrated to be contagious by clinical or bacteriological evidence, or by other means as determined by rule of the department. Tuberculosis disease is considered active until cured."
activities of daily living,"“Activities of daily living” means functions and tasks for self-care, including ambulation, bathing, dressing, eating, grooming, and toileting, and other similar tasks."
activities of daily living,"“Activities of daily living” means functions and tasks for self-care, including eating, bathing, grooming, dressing, ambulating, and other similar tasks."
activity,"“Activity” means a unit of work that has identifiable starting and ending points, consumes resources, and produces outputs."
activity of daily living,"“Activity of daily living” means an activity required on a frequent basis that permits an individual to secure or maintain independence. Such activities include, but are not limited to, personal home care, transportation, personal assistance services, housekeeping, shopping, attending school, communication, and employment."
actual cost of duplication,"“Actual cost of duplication” means the cost of the material and supplies used to duplicate the public record, but does not include labor cost or overhead cost associated with such duplication."
actual weight,"“Actual weight” means the weight of a motor vehicle or motor vehicle combination plus the weight of the load carried on it, as determined at a fixed scale operated by the state or as determined by use of a portable scale operated by a law enforcement officer."
"actual, continuous service","“Actual, continuous service” means the time during which a deputy sheriff performs the duties and responsibilities of the position to which she or he is appointed."
actuarial equivalent,“Actuarial equivalent” means a benefit of equal value when computed at regular interest upon the basis of the mortality tables adopted by the division.
actuarial equivalent,“Actuarial equivalent” means a benefit of equal value when computed at regular interest upon the basis of the mortality tables adopted by the administrator.
actuary,“Actuary” or “state retirement actuary” means a fellow of the Society of Actuaries or a member of the American Academy of Actuaries or an organization of which one or more members is a fellow of the Society of Actuaries or a member of the American Academy of Actuaries or both.
acupuncture,"“Acupuncture” means a form of primary health care, based on traditional Chinese medical concepts and modern oriental medical techniques, that employs acupuncture diagnosis and treatment, as well as adjunctive therapies and diagnostic techniques, for the promotion, maintenance, and restoration of health and the prevention of disease. Acupuncture shall include, but not be limited to, the insertion of acupuncture needles and the application of moxibustion to specific areas of the human body and the use of electroacupuncture, Qi Gong, oriental massage, herbal therapy, dietary guidelines, and other adjunctive therapies, as defined by board rule."
acupuncturist,“Acupuncturist” means any person licensed as provided in this chapter to practice acupuncture as a primary health care provider.
ad valorem bonds,The term “ad valorem bonds” means bonds which are payable from the proceeds of ad valorem taxes levied on real and tangible personal property.
ad valorem bonds,“Ad valorem bonds” means bonds which are payable from the proceeds of ad valorem taxes levied on real and tangible personal property and which are generally referred to as general obligation bonds.
ad valorem tax,“Ad valorem tax” means a tax based upon the assessed value of property. The term “property tax” may be used interchangeably with the term “ad valorem tax.”
ad valorem tax roll,“Ad valorem tax roll” means the roll prepared by the property appraiser and certified to the tax collector for collection.
ad valorem taxes paid,"“Ad valorem taxes paid” means 96 percent of property taxes levied for operating purposes and does not include interest, penalties, or discounts foregone. In addition, the term “ad valorem taxes paid,” for purposes of the credit in s. 220.182, means the ad valorem tax paid on new or additional real or personal property acquired to establish a new business or facilitate a business expansion, including pollution and waste control facilities, or any part thereof, and including one or more buildings or other structures, machinery, fixtures, and equipment. This paragraph expires on the date specified in s. 290.016 for the expiration of the Florida Enterprise Zone Act."
adaptation action area,"“Adaptation action area” or “adaptation area” means a designation in the coastal management element of a local government’s comprehensive plan which identifies one or more areas that experience coastal flooding due to extreme high tides and storm surge, and that are vulnerable to the related impacts of rising sea levels for the purpose of prioritizing funding for infrastructure needs and adaptation planning."
added ingredient,"“Added ingredient” means any plant nutrient or plant regulator added to the mixture which is not an active pesticidal ingredient, but which the manufacturer wishes to show on the label."
addictions receiving facility,“Addictions receiving facility” means a substance abuse service provider as defined in chapter 397.
addictions receiving facility,“Addictions receiving facility” means a substance abuse service provider as defined in chapter 397.
addictions receiving facility,“Addictions receiving facility” means a substance abuse service provider as defined in chapter 397.
additional offense,“Additional offense” means any offense other than the primary offense for which an offender is convicted and which is pending before the court for sentencing at the time of the primary offense.
additive,"“Additive” means any foreign substance which, when added to any citrus fruit juice, will change the amount of total soluble solids or anhydrous citric acid therein, or the color or taste thereof, or act as an artificial preservative thereof."
additive product,"“Additive product” means any fuel supplement, oil supplement, or any other supplement product added to a motor vehicle for the purpose of increasing or enhancing the performance or improving the longevity of such motor vehicle."
adjudication by a court of competent jurisdiction,“Adjudication by a court of competent jurisdiction” means a judicial decision or finding that a person is or is not incapacitated as provided in s. 744.331.
adjudication by the united states department of veterans affairs,“Adjudication by the United States Department of Veterans Affairs” means a determination or finding that a person is competent or incompetent on examination in accordance with the laws and regulations governing the United States Department of Veterans Affairs.
adjudicatory hearing,"“Adjudicatory hearing” means a hearing for the court to determine whether or not the facts support the allegations stated in the petition, as is provided for under s. 985.35 in delinquency cases."
adjudicatory hearing,“Adjudicatory hearing” means a hearing for the court to determine whether or not the facts support the allegations stated in the petition in dependency cases or in termination of parental rights cases.
adjudicatory hearing,“Adjudicatory hearing” means a hearing for the court to determine whether or not the facts support the allegations stated in the petition as is provided for under s. 984.20(2) in child-in-need-of-services cases.
adjusted admission,"“Adjusted admission” means the sum of acute and intensive care admissions divided by the ratio of inpatient revenues generated from acute, intensive, ambulatory, and ancillary patient services to gross revenues. If a hospital reports only subacute admissions, then “adjusted admission” means the sum of subacute admissions divided by the ratio of total inpatient revenues to gross revenues."
adjusted for family size,"“Adjusted for family size” means adjusted in a manner which results in an income eligibility level which is lower for households with fewer than four people, or higher for households with more than four people, than the base income eligibility level determined as provided in subsection (9), subsection (10), or subsection (12), based upon a formula as established by rule of the corporation."
adjusted for family size,"“Adjusted for family size” means adjusted in a manner that results in an income eligibility level that is lower for households having fewer than four people, or higher for households having more than four people, than the base income eligibility determined as provided in subsection (19), subsection (20), or subsection (28), based upon a formula established by the United States Department of Housing and Urban Development."
adjusted for family size,"“Adjusted for family size” means adjusted in a manner which results in an income eligibility level which is lower for households with fewer than four people, or higher for households with more than four people, than the base income eligibility determined as provided in subsection (9), subsection (11), subsection (12), or subsection (17), based upon a formula as established by the United States Department of Housing and Urban Development."
adjusted gross income,"“Adjusted gross income” means all wages, assets, regular cash or noncash contributions or gifts from persons outside the household, and such other resources and benefits as may be determined to be income by rule of the department, adjusted for family size, less deductions allowable under s. 62 of the Internal Revenue Code."
adjusted gross income,"“Adjusted gross income” means all wages, assets, regular cash or noncash contributions or gifts from persons outside the household, and such other resources and benefits as may be determined to be income by the United States Department of Housing and Urban Development, adjusted for family size, less deductions allowable under s. 62 of the Internal Revenue Code."
adjusted or net capitalized cost,"“Adjusted or net capitalized cost” means the capitalized cost, less any capitalized cost-reduction payments made by the retail lessee at the inception of the lease agreement. The adjusted or net capitalized cost shall serve as the basis for calculating the amount of the retail lessee’s periodic payment under the lease agreement."
adjuster,"“Adjuster” means a public adjuster as defined in s. 626.854, a public adjuster apprentice as defined in s. 626.8541, or an all-lines adjuster as defined in s. 626.8548."
administer,"“Administer” means the direct application of a controlled substance, whether by injection, inhalation, ingestion, or any other means, to the body of a person or animal."
administration,“Administration” means the obtaining and giving of a single dose of medicinal drugs by a legally authorized person to a patient for her or his consumption.
administration commission,"“Administration Commission” means the Governor and the Cabinet, and for purposes of this chapter the commission shall act on a simple majority vote, except that for purposes of imposing the sanctions provided in s. 163.3184(8), affirmative action shall require the approval of the Governor and at least three other members of the commission."
administration commission,“Administration commission” or “commission” means the Governor and the Cabinet; and for purposes of this chapter the commission shall act on a simple majority.
administrative assessment,"“Administrative assessment” means a review of conditions in a long-term care facility which impact the rights, health, safety, and welfare of residents with the purpose of noting needed improvement and making recommendations to enhance the quality of life for residents."
administrative officer,“Administrative officer” means the administrative officer of soil and water conservation created by s. 582.09.
administrative personnel,"ADMINISTRATIVE PERSONNEL.—“Administrative personnel” includes K-12 personnel who perform management activities such as developing broad policies for the school district and executing those policies through the direction of personnel at all levels within the district. Administrative personnel are generally high-level, responsible personnel who have been assigned the responsibilities of systemwide or schoolwide functions, such as district school superintendents, assistant superintendents, deputy superintendents, school principals, assistant principals, career center directors, and others who perform management activities. Broad classifications of K-12 administrative personnel are as follows:"
administrative probation,"“Administrative probation” means a form of noncontact supervision in which an offender who presents a low risk of harm to the community may, upon satisfactory completion of half the term of probation, be transferred by the Department of Corrections to nonreporting status until expiration of the term of supervision."
administrative procedures committee,The term “Administrative Procedures Committee” means a committee designated by joint rule of the Legislature or by agreement between the President of the Senate and the Speaker of the House of Representatives.
administrative proceeding,"“Administrative proceeding” means any nonjudicial hearing which may result in the recommendation, approval, or order of disciplinary action against, or suspension or discharge of, a firefighter."
administrative rules,"“Administrative rules” means rules applicable to a particular marketing order or agreement, issued and made effective by the department upon recommendation of the advisory council concerned, to provide methods and procedures to facilitate the administration and enforcement of the marketing order or agreement. Rules may include, but shall not be limited to, methods and procedures for the purpose of explaining or clarifying the provisions of the marketing order or agreement; providing information to producers and handlers subject to the provisions of the marketing order or agreement; and other similar procedural and explanatory provisions to enable such producers and handlers better to understand the program and their respective obligations thereunder and thereby assist in obtaining cooperation and compliance."
administrator,“Administrator” means the licensed individual who has the general administrative charge of a facility.
