AAPFCO,"""AAPFCO"" means the Association of American Plant Food Control Officials."
employee,"""Employee"" means any (i) member of the Capitol Police Force as described in § 30-34.2:1, (ii) campus police officer appointed under the provisions of Chapter 17 (§ 23-232 et seq.) of Title 23, (iii) conservation police officer in the Department of Game and Inland Fisheries appointed under the provisions of Chapter 2 (§ 29.1-200 et seq.) of Title 29.1, (iv) special agent of the Department of Alcoholic Beverage Control appointed under the provisions of Chapter 1 (§ 4.1-100 et seq.), (v) law-enforcement officer employed by the Virginia Marine Resources Commission as described in § 9.1-101, (vi) correctional officer as the term is defined in § 53.1-1, and including correctional officers employed at a juvenile correction facility as the term is defined in § 66-25.3, (vii) any parole officer appointed pursuant to § 53.1-143, and (viii) any commercial vehicle enforcement officer employed by the Department of State Police."
employee,"""Employee"" means all persons employed by a governmental or advisory agency, unless otherwise limited by the context of its use."
employee hauler,"""Employee hauler"" means a motor carrier operating for compensation and exclusively transporting only bona fide employees directly to and from the factories, plants, office or other places of like nature where the employees are employed and accustomed to work."
employee tax,"""Employee tax"" means the tax imposed by § 3101 of the Internal Revenue Code of 1986, as amended."
employer,"""Employer"" includes the Commonwealth."
employer,"""Employer"" means a person supervising one or more employees, including the employee filing a good faith report, a superior of that supervisor, or an agent of the state agency."
employer,"""Employer"" means the Commonwealth or a political subdivision thereof, as defined in this chapter."
employer,"""Employer"" means the source of any income."
employer,"""Employer"" means the Commonwealth, or any political subdivision thereof, the United States, or any agency or instrumentality of any one or more of the foregoing, or the person, whether a resident or a nonresident of the Commonwealth, for whom an individual performs or performed any service as an employee or from whom a person receives a prize in excess of $5,001 pursuant to the State Lottery Law (§ 58.1-4000 et seq.), except that: ""employer"" (except as used in the definition of ""wages"" herein) means the person having control of the payment of such wages, and ""employer"" (except as used in the definition of ""wages"" herein) means such person. The term shall not include a financial institution, corporation, partnership or other person or entity with respect to benefits paid as custodian, trustee or depository for an individual retirement account (IRA) or simplified employee pension plan (SEPP)."
employer,"""Employer"" means any person or organization employing a registered apprentice who is party to an apprenticeship agreement with a sponsor."
employer,"""Employer"" means the Commonwealth in the case of a state employee, the local public school board in the case of a teacher, or the political subdivision participating in the Retirement System."
employer,"""Employer"" includes any Indian tribe for which service in employment as defined under this title is performed."
employer,"""Employer"" means any employer subject to the income tax imposed by this chapter."
employer,"""Employer"" includes any individual, partnership, association, corporation, business trust, or any person or groups of persons acting directly or indirectly in the interest of an employer in relation to an employee;"
employer,"""Employer"" means any political subdivision of the Commonwealth, including any county, city, town, authority, or special district that employs fire protection employees except any locality with five or fewer paid firefighters that is exempt from overtime rules by 29 U.S.C. § 207 (k)."
employer,"""Employer"" means an individual, partnership, association, corporation, legal representative, receiver, trustee, or trustee in bankruptcy doing business in or operating within this Commonwealth who employs another to work for wages, salaries, or on commission and shall include any similar entity acting directly or indirectly in the interest of an employer in relation to an employee."
employer,"""Employer"" means the source of any income as defined in § 63.2-1900."
employer-member,"""Employer-member"" means a small employer participating in a small employer health group cooperative."
employing agency,"""Employing agency"" means any municipality of the Commonwealth or any political subdivision thereof, including authorities and special districts, which employs firefighters and emergency medical technicians."
employment,"""Employment"" means employment as defined in the Social Security Act as modified under the terms of the agreement and pursuant to the authority granted the state social security administrator under § 51.1-707. ""Wages"" means all remuneration for employment, including the cash value of all remuneration paid in any medium other than cash, except that part of such remuneration which, even if it were paid for ""employment"" within the meaning of the Federal Insurance Contributions Act, would not constitute ""wages"" within the meaning of that act."
employment,"""Employment"" includes service performed in the employ of an Indian tribe, as defined in § 3306(u) of the Federal Unemployment Tax Act (FUTA), provided such service is excluded from ""employment"" as defined in FUTA solely by reason of § 3306(c)(7) of FUTA, and is not otherwise excluded from ""employment"" under this title. For purposes of this section, any exclusions from employment in § 60.2-219 that relate to services performed in the employ of state or local government shall be applicable to services performed in the employ of an Indian tribe."
employment services organization,"""Employment services organization"" means an organization that provides employment services to individuals with disabilities that is an approved Commission on the Accreditation of Rehabilitation Facilities (CARF) accredited vendor of the Department for Aging and Rehabilitative Services."
employment services organization,"""Employment services organization"" means an organization that provides community-based employment services to individuals with disabilities that is an approved Commission on Accreditation of Rehabilitation Facilities (CARF) accredited vendor of the Department for Aging and Rehabilitative Services."
ems physician,"""Emergency medical services physician"" or ""EMS physician"" means a physician who holds a current endorsement from the Office of Emergency Medical Services (EMS) and may serve as an EMS agency operational medical director or training program physician course director."
ems provider,"""Emergency medical services provider"" or ""EMS provider"" means a person who holds a valid certification issued by the Office of Emergency Medical Services."
enabling legislation,"""Enabling legislation"" means those chapters, other than this chapter, of Title 23, as amended, creating, continuing, or otherwise setting forth the powers, purposes, and missions of the individual public institutions of higher education of the Commonwealth, and as provided in §§ 2.2-2817.2, 2.2-2905, 51.1-126.3, and 51.1-1100 in the case of the University of Virginia Medical Center, unless otherwise expressly provided in this subchapter."
enclosure,"""Enclosure"" means a structure used to house or restrict animals from running at large."
enclosure,"""Shooting enclosure"" or ""enclosure"" means any fenced area open commercially to the public or any private facility where animals are held for the purpose of being shot."
encrypted,"""Encrypted"" means the transformation of data through the use of an algorithmic process into a form in which there is a low probability of assigning meaning without the use of a confidential process or key, or the securing of the information by another method that renders the data elements unreadable or unusable."
encrypted,"""Encrypted"" means the transformation of data through the use of an algorithmic process into a form in which there is a low probability of assigning meaning without the use of a confidential process or key, or the securing of the information by another method that renders the data elements unreadable or unusable."
end seller,"""End seller"" means the person who sells fuel to the ultimate user of the fuel."
end user,"""End user"" means a person who purchases prepaid CMRS in a retail transaction."
end user,"""End user"" means any person who purchases or leases electronic security equipment for use in that person's home or business."
endangered species,"""Endangered species"" means any species or variety of plant life or insect life determined by the Board to be in danger of extinction throughout all or a significant part of its range other than a species determined by the Commissioner not to be in the best interest of the welfare of man."
endangered species,"""Endangered species"" means any species which is in danger of extinction throughout all or a significant portion of its range."
endowment,"""Endowment"" means the Tobacco Indemnification and Community Revitalization Endowment established pursuant to § 3.2-3104."
endowment,"""Endowment"" means the Virginia Tobacco Settlement Foundation Endowment established pursuant to § 32.1-361.1."
endowment fund,"""Endowment fund"" means an institutional fund or part thereof that, under the terms of a gift instrument, is not wholly expendable by the institution on a current basis. The term does not include assets that an institution designates as an endowment fund for its own use."
endowment fund,"""Endowment fund"" means an institutional fund or part thereof that, under the terms of a gift instrument, is not wholly expendable by the institution on a current basis. The term does not include assets that an institution designates as an endowment fund for its own use."
energy,"""Energy"" means and includes any and all forms of energy no matter how or where generated or produced."
energy,"""Energy"" means natural gas, heating oil, propane, diesel fuel, unleaded fuel, and any other energy source except electricity."
energy,"""Energy"" means and includes all energy, regardless of how or where it is generated or produced."
energy allocation equipment,"""Energy allocation equipment"" means any device, other than submetering equipment, used to determine approximate electric or natural gas usage for any dwelling unit or nonresidential rental unit within an apartment house, office building or shopping center, or campsite at a campground."
energy assistance,"""Energy assistance"" means benefits to assist low-income households with their home heating and cooling needs, including, but not limited to, purchase of materials or substances used for home heating, repair or replacement of heating equipment, emergency intervention in no-heat situations, purchase or repair of cooling equipment, and payment of electric bills to operate cooling equipment, in accordance with § 63.2-805, or provided under the Virginia Energy Assistance Program established pursuant to the Low-Income Home Energy Assistance Act of 1981 (Title XXVI of Public Law 97-35), as amended."
energy conservation measures and facility technology infrastructure,"""Energy conservation measures and facility technology infrastructure"" means the methods, techniques, application of knowledge, installation of devices, including an alteration or betterment to an existing facility, that reduce energy consumption or operating costs, and includes, but is not limited to:"
energy cost savings,"""Energy cost savings"" means a measured reduction in fuel, energy, or operation and maintenance costs created from the implementation of one or more energy conservation measures when compared with an established baseline for previous fuel, energy, or operation and maintenance costs. When calculating ""energy cost savings"" attributable to the services performed or equipment installed pursuant to a performance-based efficiency contract, maintenance savings shall be included."
energy efficiency program,"""Energy efficiency program"" means a program that reduces the total amount of electricity that is required for the same process or activity implemented after the expiration of capped rates. Energy efficiency programs include equipment, physical, or program change designed to produce measured and verified reductions in the amount of electricity required to perform the same function and produce the same or a similar outcome. Energy efficiency programs may include, but are not limited to, (i) programs that result in improvements in lighting design, heating, ventilation, and air conditioning systems, appliances, building envelopes, and industrial and commercial processes; (ii) measures, such as but not limited to the installation of advanced meters, implemented or installed by utilities, that reduce fuel use or losses of electricity and otherwise improve internal operating efficiency in generation, transmission, and distribution systems; and (iii) customer engagement programs that result in measurable and verifiable energy savings that lead to efficient use patterns and practices. Energy efficiency programs include demand response, combined heat and power and waste heat recovery, curtailment, or other programs that are designed to reduce electricity consumption so long as they reduce the total amount of electricity that is required for the same process or activity. Utilities shall be authorized to install and operate such advanced metering technology and equipment on a customer's premises; however, nothing in this chapter establishes a requirement that an energy efficiency program be implemented on a customer's premises and be connected to a customer's wiring on the customer's side of the inter-connection without the customer's expressed consent."
energy performance-based contract,"""Energy performance-based contract"" means a contract for the evaluation, recommendation, and implementation of energy conservation measures and facility technology infrastructure upgrades and modernization that includes, at a minimum:"
enforcement agency,"""Enforcement agency"" means the agency or agencies of any local governing body or the State Fire Marshal charged with the administration or enforcement of the Fire Prevention Code."
engaged in business,"""Engaged in business"" means as applied to a dealer in firearms a person, firm, partnership, or corporation that devotes time, attention, and labor to dealing in firearms as a regular course of trade or business with the principal objective of livelihood and profit through repetitive purchase or resale of firearms, but such term shall not involve a person who makes occasional sales, exchanges, or purchases of firearms for the enhancement of a personal collection or for a hobby, or who sells all or part of his personal collection of firearms."
enhanced emissions inspection program,"""Enhanced emissions inspection program"" means a motor vehicle emissions inspection system established by regulations of the Board that shall designate, as the only authorized testing equipment for emissions inspection stations, (i) the use of the ASM 50-15 (acceleration simulation mode or method) together with an OBD-II (on-board diagnostic system) with wireless capability, (ii) the use of the ASM 50-15 together with the use of a dynamometer, and (iii) two-speed tailpipe testing equipment. Possession and availability of a dynamometer shall be required for enhanced emissions inspection stations. Only those computer software programs and emissions testing procedures necessary to comply with applicable provisions of Title I of the federal Clean Air Act shall be included. Such testing equipment shall be approvable for motor vehicle manufacturers' warranty repairs. An enhanced emissions inspection program shall include remote sensing and an on-road clean screen program as provided in this article."
enhanced recovery,"""Enhanced recovery"" means (i) any activity involving injection of any air, gas, water or other fluid into the productive strata, (ii) the application of pressure, heat or other means for the reduction of viscosity of the hydrocarbons, or (iii) the supplying of additional motive force other than normal pumping to increase the production of gas or oil from any well, wells or pool."
enology,"""Enology"" means those practices and that body of knowledge involved in the production, aging, storing, and packaging of wine."
enrollee,"""Enrollee"" or ""member"" means an individual who is enrolled in a health care plan."
enrollee,"""Enrollee"" means an individual or a dependent of an individual who is enrolled in a dental plan."
enrolling individuals,"""enrolling individuals"" means the process of informing individuals of the availability of coverages, calculating the insurance charge, assisting with completion of the enrollment application, preparing and delivering the certificate of insurance, answering questions regarding the coverages, and assisting the individual in making an informed decision whether or not enrollment under the group insurance plan is to be elected."
enrollment,"""Enrollment"" or ""student enrollment"" means the number of full-time equivalent students."
enterprise,"""Enterprise"" includes any of the following: sole proprietorship, partnership, corporation, business trust, criminal street gang; or other group of three or more individuals associated for the purpose of criminal activity."
enterprise,"""Enterprise"" means any industry for manufacturing, processing, assembling, storing, warehousing, distributing, or selling any products of agriculture, mining, or industry and for research and development or scientific laboratories, including, but not limited to, the practice of medicine and all other activities related thereto or for such other businesses or activities as will be in the furtherance of the public purposes of this chapter."
enterprise,"""Enterprise"" means an organization with common or unifying business interests. An enterprise may be defined at the Commonwealth level or secretariat level for program and project integration within the Commonwealth, secretariats, or multiple agencies."
enterprise zone,"""Enterprise zone"" means an area declared by the Governor to be eligible for the benefits of this chapter."
enterprise zone,"""Enterprise zone"" means an area designated by the Governor as an enterprise zone pursuant to Chapter 49 (§ 59.1-538 et seq.) of Title 59.1."
enterprise zone facility bonds,"""Taxable authority facilities"" means any private or commercial golf course, country club, massage parlor, tennis club, skating facility (including roller skating, skateboard and ice skating), racquet sports facility, suntan facility, race track, or facility the primary purpose of which is one of the following: (i) retail food and beverage services (excluding grocery stores), (ii) automobile sales and service, (iii) recreation or entertainment, or (iv) banks, savings and loan institutions or mortgage loan companies. The foregoing sentence notwithstanding, no facility financed as an enterprise zone facility using tax-exempt ""enterprise zone facility bonds"" (as such term is used in § 1394 of the Internal Revenue Code) shall constitute a taxable authority facility."
entity,"""Entity"" means any corporation, partnership, association, cooperative, limited liability company, trust, joint venture, government, political subdivision, or other legal or commercial entity."
entity,"""Entity"" includes any domestic or foreign corporation; any domestic or foreign nonstock corporation; any domestic or foreign unincorporated entity; any estate or trust; and any state, the United States and any foreign government."
entity,"""Entity"" includes corporations, business trusts, estates, partnerships, limited partnerships, limited liability partnerships, limited liability companies, associations, organizations, joint ventures, governments, governmental subdivisions, agencies, or instrumentalities or any other legal entity, whether for profit or not for profit."
entity,"""Entity"" means any corporation, partnership, association, cooperative, limited liability company, trust, joint venture, or other legal or commercial entity."
entity,"""Utilization review entity"" or ""entity"" means a person or entity performing utilization review."
entity,"""Entity"" means one or more persons, partnerships, unincorporated associations, corporations or other organizations entitled to hold property in its own name."
entity,"""Entity"" means any person, partnership, firm, corporation, or other business, including assisted living facilities as defined in § 63.2-100, that delivers health services."
entity,"""Entity"" includes any domestic or foreign corporation; any domestic or foreign stock corporation; any domestic or foreign unincorporated entity; any estate or trust; and any state, the United States, and any foreign government."
entity,"""Entity"" means a business organization, other than a sole proprietorship, that is a corporation, limited liability company, limited partnership, or limited liability partnership duly organized under the laws of the Commonwealth or another state."
entity,"""Entity"" means any authority, board, bureau, commission, district or agency of the Commonwealth or of any political subdivision of the Commonwealth, including cities, towns and counties, municipal councils, governing bodies of counties, school boards and planning commissions; boards of visitors of public institutions of higher education; and other organizations, corporations, or agencies in the Commonwealth supported wholly or principally by public funds."
entrance fee,"""Entrance fee"" means an initial or deferred transfer to a provider of a sum of money or other property made or promised to be made in advance or at some future time as full or partial consideration for acceptance of a specified individual as a resident in a facility. A fee which in the aggregate is less than the sum of the regular periodic charges for one year of residency shall not be considered to be an entrance fee except as provided in subsection A of § 38.2-4904.1."
entrance of polling place,"""Entrance of polling place"" or ""entrance to polling place"" means an opening in the wall used for ingress to a structure."
entrance to polling place,"""Entrance of polling place"" or ""entrance to polling place"" means an opening in the wall used for ingress to a structure."
entry permit,"""Entry permit"" means a state-of-destination document prepared by the State Apiarist or other authorized person authorizing the entry of bee equipment, appliances, and bees on combs into the Commonwealth."
environment,"""Environment"" means the natural, scenic, scientific and historic attributes of the Commonwealth."
environment,"""Environment"" means the natural, scenic and historic attributes of the Commonwealth."
environmental assessment,"""Environmental assessment"" means a voluntary evaluation of activities or facilities or of management systems related to such activities or facilities that is designed to identify noncompliance with environmental laws and regulations, promote compliance with environmental laws and regulations, or identify opportunities for improved efficiency or pollution prevention. An environmental assessment may be conducted by the owner or operator of a facility or an independent contractor at the request of the owner or operator."
environmental contamination,"""Environmental contamination"" means any hazardous waste, substance or toxic material, or its discharge or release, that is regulated under any environmental law or regulation applicable to the property, and shall include petroleum (including crude oil), natural gas, liquefied natural gas, ordnance, unexploded munitions, and asbestos."
environmental covenant,"""Environmental covenant"" means a servitude arising under an environmental response project that imposes activity and use limitations."
environmental law,"""Environmental law"" means any federal, state, or local law, rule, regulation, or ordinance relating to protection of the environment or human health."
environmental law,"""Environmental law"" means a federal, state, or local law, rule, regulation, or ordinance relating to protection of the environment."
environmental law,"""Environmental law"" means any federal, state, or local law, rule, regulation, or ordinance relating to protection of the environment or human health."
environmental law,"""Environmental law"" means a federal, state, or local law, rule, regulation, or ordinance relating to protection of the environment."
environmental law,"""Environmental law"" means any federal, state, or local law, rule, regulation, or ordinance relating to protection of the environment or human health."
environmental response project,"""Environmental response project"" means a plan or work performed for environmental remediation of real property and conducted:"
ephedrine or related compounds,"""Ephedrine or related compounds"" means ephedrine and pseudoephedrine base or their salts, isomers, or salts of isomers."
equine,"""Equine"" means a horse, pony, mule, donkey, or hinny."
equine activity sponsor,"""Equine activity sponsor"" means any person or his agent who, for profit or not for profit, sponsors, organizes, or provides the facilities for an equine activity, including pony clubs, 4-H clubs, hunt clubs, riding clubs, school- and college-sponsored classes and programs, therapeutic riding programs, and operators, instructors, and promoters of equine facilities, including stables, clubhouses, ponyride strings, fairs, and arenas where the activity is held."
equine professional,"""Equine professional"" means a person or his agent engaged for compensation in: (i) instructing a participant or renting to a participant an equine for the purpose of riding, driving, or being a passenger upon an equine; or (ii) renting equipment or tack to a participant."
equipment,"""Equipment"" means plumbing, heating, electrical, ventilating, air-conditioning and refrigeration equipment, elevators, dumbwaiters, escalators, and other mechanical additions or installations."
equipment,"""Equipment"" means any personal property, including, but without limitation, computer hardware and software and any other improvements of all types, including infrastructure improvements related to equipment, to be used to support academic instruction and research, at educational institutions."
equipment,"""equipment"" and ""supplies"" shall not be considered durable medical equipment."
equipment or materials used to manufacture an unlawful electronic communication device,"""Equipment or materials used to manufacture an unlawful electronic communication device"" means (i) a scanner capable of intercepting the electronic serial number or mobile identification number of a cellular or other wireless telephone; (ii) electronic software or hardware capable of altering or changing the factory-installed electronic serial number of a cellular or other wireless telephone or a computer containing such software; (iii) a list of cellular or other wireless telephone electronic serial numbers with their associated mobile identification numbers; or (iv) a part, accessory or component of an unlawful electronic communications device possessed or used in the manufacture of such device including any electronic serial number, computer software, mobile identification number, service access card, account number, or personal identification number used to acquire, receive, use, decrypt or transmit an electronic communication service without the actual consent or knowledge of the electronic communication service provider."
equity,"""Equity"" includes both legal and equitable interests."
equity,"""Equity"" has the same meaning as that term is defined in § 58.1-339.4."
equity,"""Equity"" means common stock or preferred stock, regardless of class or series, of a corporation; a partnership interest in a limited partnership; or a membership interest in a limited liability company, which is not required or subject to an option on the part of the taxpayer to be redeemed by the issuer within three years from the date of issuance."
equivalent load,"""Equivalent load"" means 2,300 pounds per year of total nitrogen and 300 pounds per year of total phosphorus at a flow volume of 40,000 gallons per day; 5,700 pounds per year of total nitrogen and 760 pounds per year of total phosphorus at a flow volume of 100,000 gallons per day; and 28,500 pounds per year of total nitrogen and 3,800 pounds per year of total phosphorus at a flow volume of 500,000 gallons per day."
erecording system,"""eRecording System"" means the automated electronic recording system implemented by the clerk for the recordation of electronic documents among the land records maintained by the clerk."
erection,"""To erect"" or ""erection"" includes building, constructing, reconstructing, erecting, demolishing, extending, bettering, equipping, installing, modifying, and improving."
erosion,"""Erosion"" means the process of destruction by the action of wind, water, or ice of the land bordering the tidal waters of the Commonwealth."
erosion impact area,"""Erosion impact area"" means an area of land not associated with current land-disturbing activity but subject to persistent soil erosion resulting in the delivery of sediment onto neighboring properties or into state waters. This definition shall not apply to any lot or parcel of land of 10,000 square feet or less used for residential purposes or to shorelines where the erosion results from wave action or other coastal processes."
escape of resources,"""Waste"" or ""escape of resources"" means (i) physical waste, as that term is generally understood in the gas and oil industry; (ii) the inefficient, excessive, improper use, or unnecessary dissipation of reservoir energy; (iii) the inefficient storing of gas or oil; (iv) the locating, drilling, equipping, operating, or producing of any gas or oil well in a manner that causes, or tends to cause, a reduction in the quantity of gas or oil ultimately recoverable from a pool under prudent and proper operations, or that causes or tends to cause unnecessary or excessive surface loss or destruction of gas or oil; (v) the production of gas or oil in excess of transportation or marketing facilities; (vi) the amount reasonably required to be produced in the proper drilling, completing, or testing of the well from which it is produced, except gas produced from an oil well or condensate well pending the time when with reasonable diligence the gas can be sold or otherwise usefully utilized on terms and conditions that are just and reasonable; or (vii) underground or above ground waste in the production or storage of gas, oil, or condensate, however caused. The term ""waste"" does not include gas vented from methane drainage boreholes or coalbed methane gas wells, where necessary for safety reasons or for the efficient testing and operation of coalbed methane gas wells; nor does it include the plugging of coalbed methane gas wells for the recovery of the coal estate."
escrow,"""Escrow"" means written instruments, money, or other items deposited by a party with a settlement agent for delivery to other persons upon the performance of specified conditions or the happening of a certain event."
"escrow, closing, or settlement services","""Escrow, closing, or settlement services"" means the administrative and clerical services required to carry out the terms of contracts affecting real estate. These services include placing orders for title insurance, receiving and issuing receipts for money received from the parties, ordering loan checks and payoffs, ordering surveys and inspections, preparing settlement statements, determining that all closing documents conform to the parties' contract requirements, setting the closing appointment, following up with the parties to ensure that the transaction progresses to closing, ascertaining that the lenders' instructions have been satisfied, conducting a closing conference at which the documents are executed, receiving and disbursing funds, completing form documents and instruments selected by and in accordance with instructions of the parties to the transaction, handling or arranging for the recording of documents, sending recorded documents to the lender, sending the recorded deed and the title policy to the buyer, and reporting federal income tax information for the real estate sale to the Internal Revenue Service."
essential parts,"""Essential parts"" means all integral parts and body parts, the removal, alteration, or substitution of which will tend to conceal the identity of a vehicle."
essential public record,"""Essential public record"" means records that are required for recovery and reconstruction of any agency to enable it to resume its core operations and functions and to protect the rights and interests of persons."
established business relationship,"""Established business relationship"" means a relationship between the called person and the person on whose behalf the telephone solicitation call is being made based on: (i) the called person's purchase from, or transaction with, the person on whose behalf the telephone solicitation call is being made within the 18 months immediately preceding the date of the call or (ii) the called person's inquiry or application regarding any property, good, or service offered by the person on whose behalf the telephone solicitation call is being made within the three months immediately preceding the date of the call."
established place of business,"""Established place of business"" means a salesroom in a permanent enclosed building or structure, either owned in fee or leased, at which a permanent business of bartering, trading and selling of watercraft will be carried on as such in good faith and at which place of business shall be kept and maintained the books, records and files necessary to conduct the business at such place. It shall not mean residences, tents, temporary stands or other temporary quarters, nor permanent quarters occupied pursuant to any temporary arrangement, devoted principally to the business of a watercraft dealer, as herein defined."
establishment,"""Establishment"" means any place where alcoholic beverages of one or more varieties are lawfully manufactured, sold, or used."
establishment,"""Establishment"" means any industrial establishment, mill, factory, tannery, paper or pulp mill, mine, coal mine, colliery, breaker or coal-processing operations, quarry, oil refinery, boat, vessel, and every other industry or plant or works the operation of which produces industrial wastes or other wastes or which may otherwise alter the physical, chemical or biological properties of any state waters."
establishment,"""Farm winery"" or ""winery"" means an ""establishment"" as defined in § 4.1-100."
establishment,"""Establishment"" means any vehicle, vessel, property or premises where crustacea, finfish or shellfish are transported, held, stored, processed, packed, repacked, or pasteurized in preparation for marketing."
estate,"""Trust"" or ""estate"" means a trust or estate, or a fiduciary thereof, which is required to file a fiduciary income tax return under the laws of the United States."
estate,"""Estate"" includes all interests in the real or personal property of a decedent passing by will or by intestate succession."
estate,"""Estate"" includes both real and personal property."
esthetician,"""Esthetician"" means a person who engages in the practice of esthetics for compensation."
esthetics,"""Esthetics"" includes, but is not limited to, the following practices of administering cosmetic treatments to enhance or improve the appearance of the skin: cleansing, toning, performing effleurage or other related movements, stimulating, exfoliating, or performing any other similar procedure on the skin of the human body or scalp by means of cosmetic preparations, treatments, any nonlaser device, electrical, mechanical, or manual, for care of the skin; applying make-up or eyelashes to any person, tinting or perming eyelashes and eyebrows, and lightening hair on the body except the scalp; and removing unwanted hair from the body of any person by the use of tweezing, chemical, or mechanical means. However, ""esthetics"" is not a healing art and shall not include any practice, activity, or treatment that constitutes the practice of medicine, osteopathic medicine, or chiropractic. The terms ""healing arts,"" ""practice of medicine,"" ""practice of osteopathic medicine,"" and ""practice of chiropractic"" shall mean the same as those terms are defined in § 54.1-2900."
esthetics instructor,"""Esthetics instructor"" means a licensed esthetician who has been certified by the Board as having completed an approved curriculum and who meets the competency standards of the Board as an instructor of esthetics."
esthetics spa,"""Esthetics spa"" means any commercial establishment, residence, vehicle, or other establishment, place, or event wherein esthetics is offered or practiced on a regular basis for compensation under regulations of the Board."
estimated tax,"""Estimated tax"" means the amount of tax which a taxpayer estimates as being imposed by Article 2 (§ 58.1-2620 et seq.) of this chapter for the tax year as measured by the gross receipts received in the taxable year."
estimated tax,"""Estimated tax"" means the amount which the insurance company estimates as the amount of the tax imposed by this chapter for the license year, measured by direct gross premium income received or derived in the taxable year."
ethanol fuels,"""Ethanol fuels"" means fermentation alcohol derived from agricultural products, including potatoes, cereal grains, dry mill corn, whey, and sugar beets; forest products; or other renewable resources, including residue and waste generated from the production, processing, and marketing of agricultural products, forest products, and other renewable resources, that:"
ethanol fuels,"""Ethanol fuels"" means fermentation alcohol derived from agricultural products, including potatoes, cereal grains, dry mill corn, whey, and sugar beets; forest products; or other renewable resources, including residue and waste generated from the production, processing, and marketing of agricultural products, forest products, and other renewable resources, that:"
euthanasia,"""Euthanasia"" means the humane destruction of an animal accomplished by a method that involves instantaneous unconsciousness and immediate death or by a method that involves anesthesia, produced by an agent that causes painless loss of consciousness, and death during such loss of consciousness."
evaluation,"""Evaluation"" means an analysis, opinion, or conclusion relating to the nature, quality, value, or utility of specified interests in, or aspects of, identified real property."
event,"""Event"" means any professional boxing or wrestling show which includes one or more contests or matches."
event of withdrawal of a general partner,"""Event of withdrawal of a general partner"" means an event that causes a person to cease to be a general partner as provided in § 50-73.28."
evidence of coverage,"""Evidence of coverage"" includes any certificate, individual or group agreement or contract or related documents issued in conjunction with the certificate, agreement or contract, issued to a subscriber setting out the coverage and other rights to which a covered person is entitled."
evidence of coverage,"""Evidence of coverage"" means any certificate or individual or group agreement or contract issued in conjunction with the certificate, agreement or contract, issued to a subscriber setting out the coverage and other rights to which an enrollee is entitled."
evidence of coverage,"""Evidence of coverage"" includes any certificate, individual or group agreement or contract, or identification card or related documents issued in conjunction with the certificate, agreement or contract, issued to a subscriber setting out the coverage and other rights to which a covered person is entitled."
evidence of coverage,"""Evidence of coverage"" means any certificate, agreement, or contract issued to a subscriber of a group that sets out the dental services to which the enrollees are entitled."
examining board,"""Examining Board"" means persons appointed by the Chief Inspector to monitor examinations of inspectors."
excavate,"""Excavate"" or ""excavation"" means ditching, dredging, or mechanized removal of earth, soil or rock."
excavate,"""Excavate"" or ""excavation"" means any operation in which earth, rock, or other material in the ground is moved, removed, or otherwise displaced by means of any tools, equipment, or explosives and includes, without limitation, grading, trenching, digging, ditching, dredging, drilling, augering, tunneling, scraping, cable or pipe plowing and driving, wrecking, razing, rendering, moving, or removing any structure or mass of material. ""Excavate"" or ""excavation"" shall not include installation of a sign that consists of metal, plastic, or wooden poles placed in the ground by hand or by foot without the use of tools or equipment."
excavation,"""Excavate"" or ""excavation"" means ditching, dredging, or mechanized removal of earth, soil or rock."
excavation,"""Excavate"" or ""excavation"" means any operation in which earth, rock, or other material in the ground is moved, removed, or otherwise displaced by means of any tools, equipment, or explosives and includes, without limitation, grading, trenching, digging, ditching, dredging, drilling, augering, tunneling, scraping, cable or pipe plowing and driving, wrecking, razing, rendering, moving, or removing any structure or mass of material. ""Excavate"" or ""excavation"" shall not include installation of a sign that consists of metal, plastic, or wooden poles placed in the ground by hand or by foot without the use of tools or equipment."
excepted acquisition,"""Excepted acquisition"" means the acquisition of shares of a public corporation in any of the following circumstances:"
excess insurance,"""Excess insurance"" or ""stop loss insurance"" means insurance issued to a health maintenance organization by an insurer licensed in the Commonwealth, on a form approved by the Commission, or a risk assumption transaction acceptable to the Commission, providing indemnity or reimbursement against the cost of health care services provided by the health maintenance organization."
excessive drug residue,"""Excessive drug residue"" means drug residue that is: (i) greater than the value specified as a safe level by the U.S. Food and Drug Administration; (ii) equal to or greater than the value specified as the minimum actionable level by the U.S. Food and Drug Administration; or (iii) greater than the value specified as the maximum tolerance level established by federal law. In the event that no safe level, actionable level, or tolerance level for drug residue has been established under federal law, any drug residue shall be deemed to exceed the safe level, minimum actionable level, or tolerance level of drug residue."
exchange,"""Exchange"" shall mean a geographical area established for the administration of communication services and consisting of one or more central offices together with associated facilities used in providing telephone exchange service. Exchanges are identified in the tariffs of the telephone companies as filed with the Commission."
exchange agent,"""Exchange agent"" or ""exchange company"" means a person or persons who exchange or offer to exchange time-shares in an exchange program with other time-shares."
exchange client,"""Exchange client"" means the taxpayer with whom the exchange facilitator enters into an agreement described in subdivision 1 of the definition of exchange facilitator."
exchange company,"""Exchange agent"" or ""exchange company"" means a person or persons who exchange or offer to exchange time-shares in an exchange program with other time-shares."
exchange facilitator,"""Exchange facilitator"" means a person that:"
exchange funds,"""Exchange funds"" means the funds received by the exchange facilitator from or on behalf of the exchange client for the purpose of facilitating an exchange of like-kind property."
